feature,importance
s3_t0_l10_g1.0_skew,0.005749392729285476
s3_t0_l10_g1.0_kurtosis,0.005579730356010622
s3_t2.36_l5_g0.5_skew,0.005437697861348285
s1_t0_l10_g0.5_skew,0.005375582891770733
s3_t2.36_l10_g1.0_skew,0.005336637030292334
s1_t0_l5_g0.5_skew,0.005237678817547895
s1_t2.36_l10_g0.5_skew,0.005237411359431249
s3_t1.57_l10_g1.0_kurtosis,0.005099581953664527
s3_t2.36_l10_g0.5_energy,0.005089777922567722
s3_t2.36_l10_g0.5_skew,0.0049747596939869404
s1_t0_l10_g1.0_skew,0.004941941042825794
s3_t0_l10_g0.5_skew,0.004921768554582548
s1_t0.79_l5_g1.0_skew,0.004864139174643705
s1_t1.57_l10_g1.0_skew,0.004834202602659631
s1_t2.36_l5_g0.5_skew,0.0048337378597272
s3_t0_l5_g0.5_skew,0.004752631340177834
s1_t2.36_l10_g1.0_skew,0.004672405047233034
s1_t1.57_l5_g1.0_skew,0.004643467600586147
s3_t0_l10_g1.0_energy,0.004597928904336172
s3_t0_l10_g0.5_energy,0.004583599210470123
s1_t0.79_l10_g0.5_kurtosis,0.004548623492302751
s3_t1.57_l5_g0.5_mean,0.004528660470705451
s1_t0.79_l10_g1.0_skew,0.00446185944986635
s3_t1.57_l10_g0.5_kurtosis,0.004389483178235511
s3_t0_l5_g1.0_skew,0.004268701535526318
s1_t2.36_l5_g1.0_skew,0.0041910506409085805
s1_t0_l5_g1.0_skew,0.004090988156502094
s1_t0.79_l5_g0.5_kurtosis,0.004051448932659167
s1_t0_l10_g0.5_kurtosis,0.0040191393849603445
s3_t0.79_l10_g1.0_energy,0.004010710314136793
s3_t0.79_l10_g0.5_energy,0.0039844629567965615
s1_t1.57_l5_g0.5_kurtosis,0.003892818023207195
s3_t1.57_l5_g1.0_mean,0.0038731322743422274
s1_t0_l5_g0.5_kurtosis,0.0035913852808521227
s1_t0_l10_g1.0_kurtosis,0.0035176424220090536
s3_t0.79_l5_g1.0_mean,0.003515230977502579
s1_t2.36_l5_g0.5_kurtosis,0.003458566097111884
s1_t1.57_l5_g1.0_kurtosis,0.0034350547893405867
s1_t2.36_l10_g0.5_kurtosis,0.0034301737552095697
s1_t2.36_l5_g1.0_kurtosis,0.0033839878576170683
s1_t1.57_l10_g0.5_kurtosis,0.0033666564548701515
s1_t1.57_l10_g1.0_kurtosis,0.003228220378915809
s1_t0_l5_g1.0_kurtosis,0.003017455206904356
s1_t2.36_l10_g1.0_kurtosis,0.0030129026351033194
s3_t0.79_l5_g0.5_mean,0.002838257212644647
s1_t0.79_l5_g1.0_kurtosis,0.002833980663805312
s3_t2.36_l5_g1.0_mean,0.0027424338072525524
s3_t2.36_l5_g0.5_mean,0.0025516805973747553
s1_t0_l5_g0.5_energy,0.0025358732443724434
s1_t0.79_l10_g1.0_kurtosis,0.0024880167368229286
s1_t0_l5_g0.5_entropy,0.0024264772418873862
